522	63
132	3637
3676	12
817	661
372	681
253	3725
707	3710
1267	817
1429	79
1412	64
1398	1066
1383	144
1367	536
1354	15
1677	1198
177	1275
593	1431
83	1420
1142	1407
58	1396
1556	1385
1728	1373
1853	1363
1856	1353
2170	77
2785	83
2808	1108
64	2170
3000	222
3040	132
3972	91
42	3643
3995	67
4855	84
4108	235
164	3457
4286	328
537	3913
172	3974
100	3964
4822	257
4612	55
4618	132
627	4708
3801	4712
4034	2914
2169	4259
257	4282
5173	76
2169	4768
5349	345
5379	4814
506	4843
30	4612
64	4618
55	4618
5565	56
667	35
132	4931
33	5272
480	5017
449	5093
817	91
1423	104
1409	287
1391	76
1376	788
1362	76
177	5347
34	5411
96	5459
2170	1585
2737	222
1078	5647
3055	247
815	522
3873	3722
3873	3700
3906	132
10	817
10	817
3981	179
3967	166
2275	190
150	1429
498	1417
183	1405
514	1393
1226	1383
34	1371
1773	1361
4795	547
4845	84
3042	32
4269	32
305	2170
4780	538
4791	2314
4839	2307
4612	16
